,Freq,g,t,ang_freq,acc
0,0.003,1e-05,0.183,0.018840000000000003,3.447713169626445e-08
1,0.07400000000000001,0.00621,0.366,0.4647200000000001,0.0010511580482139564
2,0.1,0.011340000000000001,0.5489999999999999,0.6280000000000001,0.0038327170509235846
3,0.2,0.023719999999999998,0.732,1.2560000000000002,0.018862929946810138
4,0.3,0.060020000000000004,0.915,1.884,0.05931828269445605
5,0.4,0.11242,1.0979999999999999,2.5120000000000005,0.04205533536033423
6,0.5,0.17334000000000002,1.281,3.14,-0.13368237971313518
7,0.6,0.19464,1.464,3.768,-0.13505258913973456
8,0.7,0.20364000000000002,1.6469999999999998,4.396,0.1664721767570983
9,0.9,0.23385,1.83,5.652,-0.1858219772323591
10,1.0,0.25051,2.013,6.28,0.018837934374657223
11,1.1,0.28167,2.1959999999999997,6.908000000000001,0.14433206925931705
12,1.19,0.37940999999999997,2.379,7.4732,-0.33296665470435494
13,1.2,0.37940999999999997,2.562,7.536,0.1676478305643953
14,1.3,0.37940999999999997,2.745,8.164000000000001,-0.15437277258175722
15,1.4,0.37940999999999997,2.928,8.792,0.2174246468424646
16,1.5,0.37940999999999997,3.111,9.42,-0.3255187544542534
17,1.6,0.38211,3.2939999999999996,10.048000000000002,0.3797419274784205
18,1.61,0.38211,3.477,10.110800000000001,-0.2150398540080924
19,1.7,0.38211,3.66,10.676,0.37481262550389577
20,1.8,0.40347,3.843,11.304,-0.20779310270083606
21,1.9,0.40347,4.026,11.932,-0.31961331682385463
22,1.955,0.5103,4.209,12.2774,0.5037248708784131
23,2.0,0.5103,4.3919999999999995,12.56,-0.5015313840276109
24,2.1,0.5103,4.575,13.188,-0.3067261437924115
25,2.2,0.5103,4.758,13.816000000000003,0.11977127381287861
26,2.3,0.5103,4.941,14.443999999999999,0.3961626958721122
27,2.4,0.5103,5.124,15.072,0.4931608747682289
28,2.5,0.5103,5.307,15.700000000000001,0.5091312037885697
29,2.6,0.54945,5.49,16.328000000000003,0.5464049416084981
30,2.645,0.54945,5.672999999999999,16.6106,-0.008706114690847222
31,2.7,0.59495,5.856,16.956000000000003,-0.5620395741917035
32,2.8,0.59239,6.039,17.584,-0.34630507791451304
33,2.9,0.5945600000000001,6.222,18.212,0.12843226261651303
34,2.9330000000000003,0.66438,6.405,18.419240000000002,-0.6553011402661957
35,3.0,0.66438,6.587999999999999,18.84,-0.66417222290852
36,3.15,0.66438,6.771,19.782,0.6049373524446652
37,3.3,0.66438,6.954,20.724,-0.25784401835392123
38,3.45,0.66438,7.1370000000000005,21.666,-0.42402983942166245
39,3.6,0.66438,7.32,22.608,0.5639746195800767
40,3.8,0.66438,7.502999999999999,23.864,0.012748174578244125
41,3.967,0.66438,7.686,24.912760000000002,0.1043248940762778
42,3.91,0.7356,7.869,24.5548,-0.7355302310445172
43,4.0,0.7356,8.052,25.12,0.6867504570768271
44,4.2,0.7356,8.235,26.376,-0.3109677185199245
45,4.4,0.7356,8.418,27.632000000000005,0.09413309443946383
46,4.6,0.7356,8.601,28.887999999999998,-0.20319415464042567
47,4.675,0.7356,8.783999999999999,29.359,0.2024800299408593
48,4.8,0.7356,8.967,30.144,0.09118505816538662
49,5.0,0.7356,9.15,31.400000000000002,-0.7278029943539176
50,5.25,0.7356,9.333,32.97,-0.12232580365631113
51,5.29,0.7356,9.516,33.2212,0.6767053817170844
52,5.5,0.70843,9.699,34.54,0.6457448746430857
53,5.75,0.70843,9.882,36.11,-0.6830931346162584
54,5.95,0.70843,10.065,37.366,-0.5559561417779831
55,6.0,0.70843,10.248,37.68,0.18981822151689998
56,6.25,0.70843,10.431,39.25,0.5998099182464817
57,6.325,0.70843,10.614,39.721000000000004,0.41466039965070395
58,6.5,0.6591899999999999,10.797,40.82,0.5206628859364133
59,6.587999999999999,0.6591899999999999,10.98,41.37264,0.6274767745036802
60,6.75,0.6591899999999999,11.163,42.39,0.6097219664271941
61,6.8,0.6591899999999999,11.345999999999998,42.704,0.4318355577618338
62,7.0,0.6591899999999999,11.529000000000002,43.96,-0.5611562486953352
63,7.25,0.6591899999999999,11.712,45.53,-0.4834862730927572
64,7.5,0.6591899999999999,11.895,47.1,0.5721269323532587
65,7.75,0.6591899999999999,12.078,48.67,-0.2312491125140256
66,8.0,0.6591899999999999,12.261,50.24,0.15699845213950464
67,8.05,0.6591899999999999,12.444,50.55400000000001,0.46145549474280845
68,8.5,0.6591899999999999,12.627,53.38,0.6510168240341673
69,8.912,0.62539,12.81,55.967360000000006,0.382822536872727
70,9.0,0.62539,12.993,56.52,-0.4346015490151859
71,9.2,0.62539,13.175999999999998,57.775999999999996,0.5232378702386374
72,9.5,0.62539,13.359000000000002,59.660000000000004,-0.5146681582115891
73,9.775,0.60087,13.542,61.38700000000001,0.5641317862644354
74,10.0,0.60087,13.725,62.800000000000004,0.5443568362756139
75,10.5,0.60087,13.908,65.94,-0.14955101545516516
76,11.0,0.60087,14.091,69.08,-0.2814282110023037
77,11.5,0.60087,14.274000000000001,72.22,0.24823808350075402
78,12.0,0.60087,14.457,75.36,0.3651341647863814
79,12.5,0.60087,14.64,78.5,-0.3307529369896413
80,13.0,0.60087,14.823,81.64,-0.3571711583139584
81,13.225,0.60087,15.005999999999998,83.053,0.47767630281724044
82,13.5,0.53487,15.189,84.78,-0.17310226799085218
83,14.0,0.52982,15.372,87.92,0.30844699002446135
84,14.5,0.53556,15.555,91.06,0.2183737180767856
85,15.0,0.53503,15.738,94.2,-0.1643017138479136
86,16.0,0.5707800000000001,15.921,100.48,-0.35508101489829624
87,17.0,0.7449100000000001,16.104,106.76,-0.5404823718935964
88,18.0,0.7449100000000001,16.287,113.04,0.08117149191821017
89,18.7,0.7449100000000001,16.47,117.436,-0.6462095332643364
90,20.0,0.7449100000000001,16.653,125.60000000000001,-0.4706538178959778
91,22.0,0.7449100000000001,16.836,138.16,0.7143146134123198
92,22.08,0.7449100000000001,17.019000000000002,138.6624,-0.39524576255396043
93,23.0,0.7449100000000001,17.202,144.44,0.25045970428986203
94,25.0,0.73232,17.385,157.0,0.4129040183764844
95,25.3,0.73232,17.567999999999998,158.88400000000001,0.7319690395666908
96,25.374000000000002,0.45214,17.750999999999998,159.34872000000001,0.4155530096449885
97,28.0,0.36684,17.934,175.84,-0.2203865393984992
98,28.526999999999997,0.35707,18.117,179.14955999999998,-0.13488396000757402
99,31.0,0.32223,18.3,194.68,0.025086240729926892
100,33.943000000000005,0.2988,18.483,213.16204000000005,0.09308373986575805
101,33.955999999999996,0.29874,18.666,213.24367999999998,-0.002580717555124226
102,34.0,0.29853,18.849,213.52,-0.07625303324175127
103,36.236,0.29836999999999997,19.032,227.56207999999998,0.2870749101609067
104,36.279,0.29852,19.215,227.83212000000003,-0.29848562001566553
105,36.311,0.29862,19.398,228.03308,0.00693619499318348
106,36.400999999999996,0.29888000000000003,19.581,228.59828,0.1654424875230324
107,36.472,0.29906,19.764,229.04416,0.061240524450722617
108,36.475,0.29906,19.947,229.06300000000002,0.28322693015600586
109,36.501,0.29912,20.13,229.22628,0.18682392698608558
110,36.695,0.29939,20.313,230.4446,0.014396886395315908
111,36.747,0.29941,20.496,230.77116,-0.29232644016099296
112,37.0,0.29921,20.679000000000002,232.36,-0.29790240704123133
113,37.582,0.29717,20.862,236.01496,-0.22683015273859844
114,37.584,0.29716,21.045,236.02752000000004,-0.09942759167112676
115,38.323,0.29445,21.228,240.66844,0.18514572087380557
116,38.946,0.29339,21.410999999999998,244.58088,0.090543226960977
117,39.236,0.29283000000000003,21.594,246.40207999999998,-0.2542170438407364
118,39.4,0.29238000000000003,21.776999999999997,247.432,-0.13895743946924613
119,39.604,0.29163,21.96,248.71312,0.2906670482187184
120,40.0,0.2896,22.143,251.20000000000002,0.2870880240368879
121,40.35,0.28745,22.326,253.39800000000002,0.17272744844892626
122,41.325,0.28224,22.509,259.521,-0.2745904851993515
123,42.085,0.28,22.691999999999997,264.29380000000003,-0.015261923868765084
124,42.246,0.27983,22.875,265.30488,-0.18195165025750581
125,42.39,0.27976,23.058000000000003,266.2092,-0.11415463385897771
126,42.83,0.27986,23.241,268.9724,-0.15379863566074256
127,42.898999999999994,0.27989,23.424,269.40572,0.219255073463415
128,43.003,0.27995,23.607,270.05884000000003,-0.23366716407624064
129,43.217,0.28003,23.79,271.40276,-0.1801339739927313
130,43.358999999999995,0.28004,23.973000000000003,272.29452,-0.1374432626909192
131,43.718,0.27988,24.156,274.54904000000005,-0.0291994103165998
132,44.0,0.27956,24.339000000000002,276.32,0.20003529398436512
133,44.5,0.27864,24.522,279.46000000000004,-0.24889758408867485
134,44.729,0.27812,24.705,280.89812,0.05255743908793373
135,45.821999999999996,0.27537,24.888,287.76216,-0.23269456171781097
136,47.207,0.27162,25.070999999999998,296.45996,-0.12072176205645127
137,47.957,0.26979000000000003,25.254,301.16996,0.013388088985066932
138,48.0,0.2697,25.436999999999998,301.44,0.2109926455810697
139,48.935,0.26785,25.62,307.3118,0.12773806173659433
140,49.086999999999996,0.26757,25.803,308.26635999999996,-0.08307865975574388
141,50.873999999999995,0.26454,25.986,319.48872,0.2219580847560842
142,52.0,0.26259,26.169,326.56,0.15185127037470286
143,52.033,0.26254,26.351999999999997,326.76724,0.03537566577258748
144,52.346000000000004,0.26204,26.535,328.73288,0.25072286295787344
145,53.365,0.26049,26.718000000000004,335.1322,0.1301227316739742
146,53.485,0.26032,26.901,335.8858,0.11168871668717345
147,57.0,0.25626,27.084,357.96000000000004,0.008637150331259719
148,57.581,0.25568,27.267,361.60868000000005,0.25451899020056046
149,58.271,0.25506,27.45,365.94188,-0.2526385428486903
150,58.696999999999996,0.25472,27.633000000000003,368.61716,0.2078724710510061
151,58.751000000000005,0.25467,27.816,368.95628000000005,0.16314852633829127
152,59.291000000000004,0.25427,27.999000000000002,372.34748,0.2542282195576891
153,59.577,0.25406999999999996,28.182,374.14356,0.20349466570825794
154,59.598,0.25405,28.365,374.27544,-0.19601310087173168
155,59.726000000000006,0.25395999999999996,28.548000000000002,375.07928000000004,0.23810047793265912
156,62.0,0.25235,28.730999999999998,389.36,0.12303280076971605
157,64.202,0.25106999999999996,28.914,403.18856,0.15320303711322142
158,68.0,0.2493,29.096999999999998,427.04,-0.13744188456768863
159,75.0,0.24678000000000003,29.28,471.0,-0.16118666304843723
160,82.0,0.24486999999999998,29.463,514.96,-0.24449648286160633
161,90.0,0.24327,29.646,565.2,-0.23659590206203462
162,100.0,0.24327,29.829,628.0,0.15764595871380965
163,100.0,0.24327,30.011999999999997,628.0,-0.21914424764049373
